drive_id,name,map_id,map_url
1pjBh_bmKujFkqv3G3Q9OpEilJZbih6hK,Gaylord Seventh-day Adventist Church,E016628,https://drive.google.com/drive/folders/1pjBh_bmKujFkqv3G3Q9OpEilJZbih6hK
1pdc0rjsbOW5r0dPo6ASrDWKcRxufR1ia,Gladwin Seventh-day Adventist Church,E016629,https://drive.google.com/drive/folders/1pdc0rjsbOW5r0dPo6ASrDWKcRxufR1ia
1pcMtDf0S2WtomY_KKr12LO82lIEjl_GC,Glennie Seventh-day Adventist Church,E016630,https://drive.google.com/drive/folders/1pcMtDf0S2WtomY_KKr12LO82lIEjl_GC
1pGuPCAiD9KzV7KAa6VD3cjezjIrnfTW-,Glenwood Seventh-day Adventist Church,E016631,https://drive.google.com/drive/folders/1pGuPCAiD9KzV7KAa6VD3cjezjIrnfTW-
1p7lSP8Hf4mR1O4PPdGaeYt1-q7vuL3sg,Gobles Seventh-day Adventist Church,E016632,https://drive.google.com/drive/folders/1p7lSP8Hf4mR1O4PPdGaeYt1-q7vuL3sg
1p7fMpKUgyOyiPAoeQyGXDP3uF2HHB312,Grand Blanc Seventh-day Adventist Church,E020993,https://drive.google.com/drive/folders/1p7fMpKUgyOyiPAoeQyGXDP3uF2HHB312
1p3rP-_ME1DQfmaiffgD5HwFlTsBD7nEW,Grand Haven Seventh-day Adventist Church,E016633,https://drive.google.com/drive/folders/1p3rP-_ME1DQfmaiffgD5HwFlTsBD7nEW
1r8AF4YDRiH6u8qSkIE9vMTngxU9omZmO,Grand Ledge Seventh-day Adventist Church,E016634,https://drive.google.com/drive/folders/1r8AF4YDRiH6u8qSkIE9vMTngxU9omZmO
1r0sjKrCtSmcr7dv5yoY8_vBS7m-76LZi,Grand Rapids Central Seventh-day Adventist Church,E016635,https://drive.google.com/drive/folders/1r0sjKrCtSmcr7dv5yoY8_vBS7m-76LZi
1r-HGzAZvUA7HBw9x083TRs24Nn51GsJL,Grand Rapids Elwell Company,E054011,https://drive.google.com/drive/folders/1r-HGzAZvUA7HBw9x083TRs24Nn51GsJL
1qzbOGRPxIhModDFOB4QUegdmK8ACUmMO,Grand Rapids Golden Gate,E054825,https://drive.google.com/drive/folders/1qzbOGRPxIhModDFOB4QUegdmK8ACUmMO
1qvKw5cQ1Q1NcXmasS9zi0TSItTVeciK0,Grand Rapids Maranatha Spanish Church,E016607,https://drive.google.com/drive/folders/1qvKw5cQ1Q1NcXmasS9zi0TSItTVeciK0
1qtpain__zEEaGaACyCD4TYecynCM3Lbt,Grand Rapids Northwest Spanish Seventh-day Adventist Co,E021276,https://drive.google.com/drive/folders/1qtpain__zEEaGaACyCD4TYecynCM3Lbt
1qtL7p6OtmNx18xMcbztJR4oezCNOLNPp,Grand Rapids Zomi Seventh-day Adventist Company,E053659,https://drive.google.com/drive/folders/1qtL7p6OtmNx18xMcbztJR4oezCNOLNPp
1qq1Zwaoll9l617SqQXvNpI9Xs2TQke2i,Grayling Seventh-day Adventist Church,E016637,https://drive.google.com/drive/folders/1qq1Zwaoll9l617SqQXvNpI9Xs2TQke2i
1qdXW51qMFmEgxQqAjHBvyYnvUxR-kwA9,Greenland Seventh-day Adventist Church,E016678,https://drive.google.com/drive/folders/1qdXW51qMFmEgxQqAjHBvyYnvUxR-kwA9
1qd-pGVP6BOUfPFwvSg-HNxXTEZJ12Gmo,Harbor of Hope Group,E054006,https://drive.google.com/drive/folders/1qd-pGVP6BOUfPFwvSg-HNxXTEZJ12Gmo
1qcNQyB1XbREpKbHBg5dp_wD5VDLhOzwE,Hartford Indonesian Seventh-day Adventist Company,E052297,https://drive.google.com/drive/folders/1qcNQyB1XbREpKbHBg5dp_wD5VDLhOzwE
1qZHcsc7VFK4CBYv0P6E0JudFsNr3NISr,Hartford Seventh-day Adventist Church,E016638,https://drive.google.com/drive/folders/1qZHcsc7VFK4CBYv0P6E0JudFsNr3NISr
1qZBw8GsvmoZ_gSGbqO7YwUgY_YhWJC8b,Hastings Seventh-day Adventist Church,E016639,https://drive.google.com/drive/folders/1qZBw8GsvmoZ_gSGbqO7YwUgY_YhWJC8b
1qRW6VZYH5ttwQiXbb4Iy1VUrlmsf3z1r,Hillsdale Seventh-day Adventist Church,E016641,https://drive.google.com/drive/folders/1qRW6VZYH5ttwQiXbb4Iy1VUrlmsf3z1r
1qDqDmHUfkZtUGq7_OsMyTeibkV5tX81x,Holland Seventh-day Adventist Church,E016642,https://drive.google.com/drive/folders/1qDqDmHUfkZtUGq7_OsMyTeibkV5tX81x
1rlynPh8FpvEj8Vki_3SVxGJ0KyM0YwY6,Holland Spanish Seventh-day Adventist Church,E016644,https://drive.google.com/drive/folders/1rlynPh8FpvEj8Vki_3SVxGJ0KyM0YwY6
1rlf3QHz9tVyyQOHZ5eowx6Hpj_N1nrau,Holly Seventh-day Adventist Church,E016645,https://drive.google.com/drive/folders/1rlf3QHz9tVyyQOHZ5eowx6Hpj_N1nrau
1rk1U9ttndCc376TcdPznJ59UFH7EP_ZX,Holt Seventh-day Adventist Church,E020082,https://drive.google.com/drive/folders/1rk1U9ttndCc376TcdPznJ59UFH7EP_ZX
1riKO_GRs1fbXV3MMPrHc8WWpGA__vJcC,Houghton Lake Seventh-day Adventist Church,E016648,https://drive.google.com/drive/folders/1riKO_GRs1fbXV3MMPrHc8WWpGA__vJcC
1rX8eMKwFRoMXNy1Ek-DKAURa-zCwxwEt,Houghton Seventh-day Adventist Church,E016646,https://drive.google.com/drive/folders/1rX8eMKwFRoMXNy1Ek-DKAURa-zCwxwEt
1rQ679BoQYCKoymPt7YFpHFfvXnGD0RBT,Ionia Seventh-day Adventist Church,E016651,https://drive.google.com/drive/folders/1rQ679BoQYCKoymPt7YFpHFfvXnGD0RBT
1rPDKpYrzJE6BZ2Pm5e0Kqd0u9EUrjQ2d,Iron Mountain Seventh-day Adventist Church,E016652,https://drive.google.com/drive/folders/1rPDKpYrzJE6BZ2Pm5e0Kqd0u9EUrjQ2d
1rN5K23AKOciK3Ut-IOvz6zFu0PQqtk3l,Iron River Seventh-day Adventist Church,E016653,https://drive.google.com/drive/folders/1rN5K23AKOciK3Ut-IOvz6zFu0PQqtk3l
1rKXZwoAmdO0Rf37VG1k4x9q9BRGRway_,Irons Seventh-day Adventist Church,E016654,https://drive.google.com/drive/folders/1rKXZwoAmdO0Rf37VG1k4x9q9BRGRway_
1rI08xaNfPhgwHoJzDGwjNMWCQ_J6xa2N,Ithaca Seventh-day Adventist Church,E016656,https://drive.google.com/drive/folders/1rI08xaNfPhgwHoJzDGwjNMWCQ_J6xa2N
1rH4OFO58MQKNBOEpwBWtO2rGzkyR3Q3f,Jackson Seventh-day Adventist Church,E016657,https://drive.google.com/drive/folders/1rH4OFO58MQKNBOEpwBWtO2rGzkyR3Q3f
1rDiCP-wxv3UNmDaQeuxLYXu0O_1ihp7y,Kalamazoo Countryside Seventh-day Adventist Church,E020992,https://drive.google.com/drive/folders/1rDiCP-wxv3UNmDaQeuxLYXu0O_1ihp7y
1rDPjEF6I9IHkHtU94U1bFpvMbcMMA75O,Kalamazoo Seventh-day Adventist Church,E016658,https://drive.google.com/drive/folders/1rDPjEF6I9IHkHtU94U1bFpvMbcMMA75O
1rCORceqP4y65939t52bFf8fuky-L_6uQ,Kalamazoo Spanish Seventh-day Adventist Church,E020083,https://drive.google.com/drive/folders/1rCORceqP4y65939t52bFf8fuky-L_6uQ
1rBlG-_X3cMp3CFVBRVZhoX5YwZghBSO3,Kalkaska Seventh-day Adventist Church,E016659,https://drive.google.com/drive/folders/1rBlG-_X3cMp3CFVBRVZhoX5YwZghBSO3
1sroolqytOJZXqaO4owLVgxdE70ZGRR4W,Kentwood Seventh-day Adventist Church,E021087,https://drive.google.com/drive/folders/1sroolqytOJZXqaO4owLVgxdE70ZGRR4W
1sYmyxs1qZsZu5Sv-3uPysRIQUCN9Urw-,L'Anse Seventh-day Adventist Company,E016662,https://drive.google.com/drive/folders/1sYmyxs1qZsZu5Sv-3uPysRIQUCN9Urw-
1sqyK8IrB3s8mzsmiaVWVTCwwTVr7Jx63,Lake City Seventh-day Adventist Church,E016660,https://drive.google.com/drive/folders/1sqyK8IrB3s8mzsmiaVWVTCwwTVr7Jx63
1siK8E09Yco1AbexpMIsWNCKoTCJL2lZM,Lakes Area Seventh-day Adventist Company,E053742,https://drive.google.com/drive/folders/1siK8E09Yco1AbexpMIsWNCKoTCJL2lZM
